from	to	weight
0	0.0	103
0	1.0	18
0	2.0	10
0	3.0	74
0	4.0	100
0	7.0	1
0	8.0	67
0	9.0	1
0	11.0	58
0	13.0	1
0	15.0	11
0	16.0	4
0	17.0	100
0	18.0	12
0	19.0	2
0	20.0	9
0	23.0	8
0	28.0	231
0	35.0	6
0	38.0	1
0	39.0	26
0	40.0	1
0	42.0	1
0	48.0	33
0	50.0	51
0	51.0	6
0	56.0	2
0	58.0	11
0	61.0	1
0	65.0	7
0	79.0	1
0	80.0	2
0	81.0	1
0	82.0	5
0	94.0	1
0	96.0	5
0	106.0	2
0	109.0	32
0	110.0	4
0	111.0	18
0	120.0	1
0	131.0	40
0	132.0	1
0	133.0	21
0	134.0	1
0	135.0	60
0	139.0	1
0	148.0	2
0	157.0	2
0	171.0	26
0	178.0	1
0	185.0	2
0	192.0	1
0	193.0	5
0	194.0	1
0	197.0	17
0	200.0	4
0	208.0	8
0	212.0	4
0	214.0	1
0	215.0	2
0	221.0	1
0	222.0	2
0	225.0	7
0	227.0	1
0	229.0	3
0	230.0	14
0	245.0	3
0	251.0	3
0	252.0	48
0	253.0	2
0	254.0	30
0	256.0	36
0	263.0	25
0	271.0	3
0	272.0	5
0	281.0	2
0	287.0	7
0	322.0	1
0	337.0	4
0	355.0	1
0	407.0	1
0	409.0	1
0	494.0	1
0	537.0	1
0	633.0	2
0	655.0	2
0	662.0	3
0	681.0	9
0	738.0	3
0	739.0	11
0	742.0	1
0	746.0	2
0	769.0	12
0	809.0	2
0	832.0	1
0	839.0	14
0	841.0	2
0	871.0	1
0	883.0	3
0	899.0	6
0	931.0	16
0	1059.0	6
0	1107.0	4
0	1111.0	5
0	1123.0	1
0	1186.0	1
0	1195.0	1
0	1249.0	2
0	1323.0	2
0	1378.0	3
0	1454.0	1
0	1472.0	2
0	1473.0	1
0	1492.0	3
0	1625.0	2
0	1660.0	2
0	1696.0	1
0	1722.0	1
0	1870.0	1
0	1876.0	1
0	1877.0	1
0	1949.0	6
0	1958.0	42
0	1992.0	1
0	2191.0	8
0	2238.0	1
0	2331.0	1
0	2355.0	1
0	2418.0	1
0	2433.0	10
0	2485.0	1
0	2522.0	1
0	2602.0	1
0	2696.0	20
0	2996.0	1
0	3084.0	1
0	3114.0	1
0	3199.0	2
0	3211.0	1
0	3212.0	1
0	3270.0	2
0	3329.0	3
0	3398.0	1
0	3399.0	1
0	3400.0	1
0	3846.0	1
0	4536.0	2
0	4780.0	1
0	5890.0	1
1	8.0	1
2	0.0	31
2	1.0	8
2	2.0	2
2	3.0	8
2	4.0	8
2	8.0	7
2	11.0	4
2	15.0	1
2	17.0	8
2	19.0	9
2	28.0	5
2	50.0	2
2	56.0	1
2	81.0	1
2	82.0	1
2	109.0	1
2	111.0	1
2	131.0	10
2	132.0	5
2	133.0	17
2	135.0	22
2	171.0	3
2	215.0	2
2	222.0	1
2	225.0	5
2	229.0	2
2	230.0	3
2	252.0	2
2	253.0	1
2	254.0	4
2	256.0	1
2	270.0	5
2	271.0	2
2	272.0	2
2	355.0	1
2	407.0	1
2	537.0	1
2	594.0	1
2	608.0	2
2	662.0	3
2	809.0	5
2	839.0	2
2	843.0	2
2	1065.0	1
2	1111.0	1
2	1949.0	1
2	1992.0	1
2	1993.0	1
2	2446.0	1
2	3329.0	3
2	4868.0	1
2	4992.0	4
2	4993.0	1
2	5271.0	1
2	5532.0	1
2	5533.0	1
2	5534.0	1
2	5535.0	1
3	0.0	6
3	2.0	1
3	3.0	3
3	8.0	1
3	17.0	3
3	28.0	4
3	109.0	1
3	131.0	5
3	151.0	1
3	197.0	1
3	225.0	2
3	229.0	1
3	230.0	1
3	252.0	1
3	254.0	2
3	256.0	4
3	282.0	1
3	287.0	2
3	409.0	3
4	0.0	37
4	1.0	3
4	2.0	1
4	3.0	2
4	4.0	13
4	8.0	13
4	11.0	3
4	15.0	9
4	16.0	2
4	17.0	13
4	18.0	4
4	19.0	1
4	20.0	1
4	28.0	20
4	48.0	2
4	50.0	8
4	74.0	1
4	80.0	2
4	82.0	3
4	90.0	2
4	106.0	1
4	109.0	5
4	111.0	3
4	131.0	3
4	134.0	1
4	135.0	1
4	147.0	2
4	148.0	1
4	158.0	1
4	167.0	1
4	171.0	13
4	185.0	1
