code,latitude,longitude,ipnitypes_nodes.node_id,ipnitypes_nodes.type_holder_code
MEXU,19.32052914,-99.19410824,0,MEXU
ANSM,25.461399,-101.025864,1,ANSM
CIIDIR,24.0504,-104.611,2,CIIDIR
ENCB,19.458096,-99.189362,3,ENCB
TEX,30.28626,-97.733774,4,TEX
,,,5,"Herbarium, Institute of Botany"
,,,6,
LE,59.971099,30.323166,7,LE
US,38.891325,-77.026108,8,US
UPS,59.8498,17.6208,9,UPS
FT,43.77866,11.26001,10,FT
K,51.4831,-0.295703,11,K
PERTH,-31.9946,115.883,12,PERTH
CANB,-35.2715224,149.1126156,13,CANB
BRI,-27.4748,152.979,14,BRI
ARIZ,32.231312,-110.949837,15,ARIZ
DAV,38.5409,-121.746,16,DAV
NY,40.8668,-73.8808,17,NY
RSA,34.110271,-117.714851,18,RSA
USON,29.085829,-110.949837,19,USON
C,55.68504,12.57186,20,C
KUN,25.0389,102.7183,21,KUN
SHIN,36.241871,137.965317,22,SHIN
BR,50.931194,4.319976,23,BR
LG,50.584209,5.568112,24,LG
WAG,51.967367,5.675883,25,WAG
AD,-34.917256,138.613869,26,AD
DNA,-12.501204,130.979095,27,DNA
MO,38.61327,-90.259573,28,MO
MBA,0,0,29,MBA
NSW,-34.06795,150.76871,30,NSW
MEL,-37.833073,144.98349,31,MEL
L,52.156624,4.48336,32,L
CAL,22.55295,88.27932,33,CAL
MH,11.01347,76.935463,34,MH
P,48.842178,2.35982,35,P
TAN,-18.9322,47.5258,36,TAN
SKK,37.295872,126.978279,37,SKK
U,52.156624,4.48336,38,U
WU,48.195267,16.384521,39,WU
S,59.368819,18.053325,40,S
SRGH,-17.82935,31.05389,41,SRGH
E,55.964418,-3.212675,42,E
ASSAM,25.610901,91.872498,43,ASSAM
KNYA,37.90797,32.48307,44,KNYA
ENT,0.31628,32.582191,45,ENT
MHU,0.3351,32.568286,46,MHU
EA,-1.266758,36.800989,47,EA
BM,51.495634,-0.176441,48,BM
MAL,-15.38333,35.333328,49,MAL
CAS,37.770241,-122.466789,50,CAS
FHO,51.75761,-1.25188,51,FHO
BK,13.7981,100.551,52,BK
CONC,-36.826988,-73.049767,53,CONC
LISI,38.708111,-9.184611,54,LISI
WUK,34.271927,108.081802,55,WUK
MA,40.412556,-3.69261,56,MA
CAT,37.514832,15.082561,57,CAT
B,52.454738,13.305618,58,B
FI,43.77866,11.26001,59,FI
AAU,56.165611,10.20032,60,AAU
W,48.204708,16.362471,61,W
,,,62,KTUB
SING,1.3112,103.817574,63,SING
KEP,3.223091,101.636452,64,KEP
A,42.3790883,-71.1145948,65,A
BO,-6.47977,106.863,66,BO
SAR,1.506867,110.32637,67,SAR
MSB,48.16432,11.500749,68,MSB
TASH,41.307838,69.273018,69,TASH
GAT,51.818924,11.284434,70,GAT
,,,71,Institute of Changbai Mt. Natural Reserve
INB,9.971863,-84.093114,72,INB
QCNE,-0.229675,-78.524612,73,QCNE
