code,lat,lng
MUFE,40.98782,29.054438
UNOP,-24.9868,-53.4499
POFS,0,0
HGRES,44.84316248,7.636610783
UBIH,22.4688021,88.0934639
TBIP,0,0
TANE,30.791109,30.99806
HURG,-32.044605,-52.078587
LOMA,33.925591,-117.453743
BAK,40.37767,49.89201
JROH,37.403439,-122.244953
SKK,37.295872,126.978279
BHMG,-19.899624,-43.960503
BHMH,-19.888577,-43.913094
LISJC,38.706039,-9.206116
OGDF,41.220432,-111.967378
HISA,-20.419531,-51.339813
BNL,50.67524,7.17663
SPR,42.104362,-72.587173
MMMN,49.9002,-97.135536
DECA,33.770004,-84.29567
SLR,13.688454,100.658989
CARAN,0,0
PR,50.122294,14.629279
INV,57.476536,-4.227836
BATU,41.65173,41.656055
SMBB,48.718079,19.13736
NMN,52.237037,-0.891612
OHHI,54.056099,58.243576
HFD,52.05473,-2.717679
TTN,51.650002,-1.78333
MENDE,44.518346,3.499189
LBV,0.418004,9.490379
INEP,67.567897,33.410422
THIM,27.41996,89.651464
LMA,-26.005415,32.446526
NCKU,23.024759,120.168114
NSWF,-33.749636,151.040183
JUA,-24.179981,-65.305344
DUGAND,11.020223,-74.871685
BSI,18.528481,73.88533
NLUH,16.435829,120.548607
IUI,37.456211,126.659813
POM,34.086395,-117.708931
EBL,14.1675356,121.2433147
HLA,21.332958,-157.801628
SCFQ,46.768894,-71.291321
ASTU,27.183611,31.18505
SWF,26.115534,-81.770401
DBY,52.92332,-1.480181
HSU,32.47459,-99.734848
BREG,47.40971,9.7375
LPAG,-34.930294,-57.95451
AJOU,37.273602,127.057137
WMU,42.28207,-85.610558
SC,36.087274,-80.240131
KUS,37.498278,127.062346
PYU,27.020868,101.085701
BIGU,14.588848,-90.551921
HEND,34.12088,-93.046143
ARUN,27.101568,93.631596
JHWU,39.925499,-83.856102
RICK,43.814949,-111.783821
FPF,0,0
MRD,46.867041,-96.757077
ECSC,34.772354,-96.662773
ECUH,35.607143,-77.355846
SWT,29.843697,-97.968353
RAW,33.720043,73.095826
NCC,38.331372,-122.693963
VALLE,3.519569,-76.294418
SERO,17.05205,-96.714226
SEV,37.382111,-5.98556
MY,10.23819,-67.570213
AJBC,22.216669,-80.469421
WA,52.225288,21.023748
ORT,28.411697,-16.535816
APCR,35.295191,-93.134242
HWB,51.566761,-0.34068
KRSU,56.005486,92.838631
SUWS,46.713123,-92.062668
NX,-14.588181,-52.519249
AKASH,34.373691,73.470194
MSTR,51.945942,7.58802
NLU,0,0
CRMC,0,0
BCRU,-41.144993,-71.316406
CFB,53.4884,-113.541253
FFB,45.85416,-66.640526
CAFB,53.4884,-113.541253
SSMF,46.504429,-84.303459
RWPM,41.783865,-71.418571
NJM,49.593418,18.010944
UZL,-15.395515,28.333762
VGZ,51.87577,39.65224
MCVE,45.438408,12.322565
DANV,49.858459,8.64281
ATHU,37.988125,23.728739
HPNP,19.067634,104.735069
PAS,-6.859,108.804604
KHA,48.372044,135.041443
OTF,45.406494,-75.707886
PFES,46.017662,-77.44928
WCP,46.047405,-118.38855
AKU,-36.874092,174.780853
WGC,33.571091,-85.096619
HZU,30.20755,120.162109
STPH,0.337503,6.731057
HACC,21.012487,-77.255936
EBV,-11.66667,27.466669
CHUG,32.055345,20.05312
CL,46.762585,23.596014
AIBU,40.703442,31.543989
NTUF,25.04776,121.531853
VNF,21.021383,105.82653
IPA,-8.066334,-34.918514
LTU,32.527466,-92.63829
LISFA,38.696754,-9.31686
BARO,22.330717,73.174202
ASUF,35.17548,-111.656227
TEFH,14.091537,-87.198616
WH,30.539921,114.368629
KASH,34.066359,74.845691
RRLH,32.774601,74.859802
WHYNC,54.073689,-0.95032
IFRD,27.020868,101.085701
NSDA,39.510521,-119.803162
UAGC,17.546711,-99.486816
MFU,46.05933,13.232719
NCBS,41.306648,-72.913376
UDU,56.849876,53.218903
POZ,52.4095,16.91811
FEZA,19.376221,-99.034927
OC,41.282387,-82.214531
SYT,53.846367,-2.472546
OP,49.934582,17.903641
LDL,52.36927,-2.716884
GMU,54.182358,45.179512
BTN,50.837108,-0.152915
PO,41.154079,-8.64246
MIPV,45.476891,9.22642
HAMU,54.971931,-1.59132
SFSU,37.720791,-122.477028
HAO,-8.110692,-79.012924
NWH,52.628873,1.297261
BRWK,55.783329,-2
REG,49.017197,12.06559
UWPG,49.890087,-97.153397
VBGI,43.130575,131.923777
CITA,32.796192,-79.960037
ASSAM,25.610901,91.872498
FSCL,28.029869,-81.943733
SCHN,42.318304,-72.638769
GAS,32.424179,-81.779892
HHH,42.457103,-75.073426
MCN,30.179254,-93.210403
ODU,36.887464,-76.30309
HPAN,-16.075632,-57.665772
HF,-1.45108,-48.476871
MERF,8.59833,-71.144997
USP,40.397855,-3.836385
PM,42.521549,-70.892876
CO,47.869522,-3.919115
CERN,48.537521,28.107285
BHPL,23.253,77.4504
MIR,30.256079,57.103401
MARDI,2.991095,101.702161
AES,61.604584,-149.112488
PCU,48.841572,2.357496
IRVC,33.634602,-117.829163
TNFS,57.057481,-135.349055
OSUF,44.565216,-123.278687
HRP,-45.862473,-67.488907
PBP,-43.25351,-65.304382
IUK,-4.3806,15.3161
HULE,12.43556,-86.87944
PLES,57.456532,41.516022
DAVH,38.543552,-121.751988
PSK,57.831192,28.37299
ARKH,49.420929,130.077713
MVFA,-34.89122,-56.072208
AHUC,38.499249,-121.759621
LSRFC,52.633331,-1.13333
LEI,52.633331,-1.13333
LCR,52.726959,-0.988042
INU,38.379883,38.017754
TUAT,35.641081,139.632139
YNUH,35.83485,128.751221
FHKSC,38.900009,-99.315742
I,47.16666,27.599991
CNSF,12.36423,-1.53834
LCDI,43.3069,-91.797523
KBSMS,42.41523,-85.420425
RUSU,-22.938179,-43.183548
CPH,37.979557,-121.311134
PUSC,38.30394,-104.581062
