from,to,weight
0,0,103
0,1,18
0,2,10
0,3,74
0,4,100
0,7,1
0,8,67
0,9,1
0,11,58
0,13,1
0,15,11
0,16,4
0,17,100
0,18,12
0,19,2
0,20,9
0,23,8
0,28,231
0,35,6
0,38,1
0,39,26
0,40,1
0,42,1
0,48,33
0,50,51
0,51,6
0,56,2
0,58,11
0,61,1
0,65,7
0,79,1
0,80,2
0,81,1
0,82,5
0,94,1
0,96,5
0,106,2
0,109,32
0,110,4
0,111,18
0,120,1
0,131,40
0,132,1
0,133,21
0,134,1
0,135,60
0,139,1
0,148,2
0,157,2
0,171,26
0,178,1
0,185,2
0,192,1
0,193,5
0,194,1
0,197,17
0,200,4
0,208,8
0,212,4
0,214,1
0,215,2
0,221,1
0,222,2
0,225,7
0,227,1
0,229,3
0,230,14
0,245,3
0,251,3
0,252,48
0,253,2
0,254,30
0,256,36
0,263,25
0,271,3
0,272,5
0,281,2
0,287,7
0,322,1
0,337,4
0,355,1
0,407,1
0,409,1
0,494,1
0,537,1
0,633,2
0,655,2
0,662,3
0,681,9
0,738,3
0,739,11
0,742,1
0,746,2
0,769,12
0,809,2
0,832,1
0,839,14
0,841,2
0,871,1
0,883,3
0,899,6
0,931,16
0,1059,6
0,1107,4
0,1111,5
0,1123,1
0,1186,1
0,1195,1
0,1249,2
0,1323,2
0,1378,3
0,1454,1
0,1472,2
0,1473,1
0,1492,3
0,1625,2
0,1660,2
0,1696,1
0,1722,1
0,1870,1
0,1876,1
0,1877,1
0,1949,6
0,1958,42
0,1992,1
0,2191,8
0,2238,1
0,2331,1
0,2355,1
0,2418,1
0,2433,10
0,2485,1
0,2522,1
0,2602,1
0,2696,20
0,2996,1
0,3084,1
0,3114,1
0,3199,2
0,3211,1
0,3212,1
0,3270,2
0,3329,3
0,3398,1
0,3399,1
0,3400,1
0,3846,1
0,4536,2
0,4780,1
0,5893,1
1,8,1
2,0,31
2,1,8
2,2,2
2,3,8
2,4,8
2,8,7
2,11,4
2,15,1
2,17,8
2,19,9
2,28,5
2,50,2
2,56,1
2,81,1
2,82,1
2,109,1
2,111,1
2,131,10
2,132,5
2,133,17
2,135,22
2,171,3
2,215,2
2,222,1
2,225,5
2,229,2
2,230,3
2,252,2
2,253,1
2,254,4
2,256,1
2,270,5
2,271,2
2,272,2
2,355,1
2,407,1
2,537,1
2,594,1
2,608,2
2,662,3
2,809,5
2,839,2
2,843,2
2,1065,1
2,1111,1
2,1949,1
2,1992,1
2,1993,1
2,2446,1
2,3329,3
2,4868,1
2,4992,4
2,4993,1
2,5271,1
2,5532,1
2,5533,1
2,5534,1
2,5535,1
3,0,6
3,2,1
3,3,3
3,8,1
3,17,3
3,28,4
3,109,1
3,131,5
3,151,1
3,197,1
3,225,2
3,229,1
3,230,1
3,252,1
3,254,2
3,256,4
3,282,1
3,287,2
3,409,3
4,0,37
4,1,3
4,2,1
4,3,2
4,4,13
4,8,13
4,11,3
4,15,9
4,16,2
4,17,13
4,18,4
4,19,1
4,20,1
4,28,20
4,48,2
4,50,8
4,74,1
4,80,2
4,82,3
4,90,2
4,106,1
4,109,5
4,111,3
4,131,3
4,134,1
4,135,1
4,147,2
4,148,1
4,158,1
4,167,1
4,171,13
4,185,1
4,200,1
4,212,9
4,213,1
4,219,1
4,220,2
4,221,3
4,223,1
4,225,1
4,227,2
4,251,1
4,252,1
4,254,4
4,283,1
4,286,1
4,287,1
4,306,1
4,323,1
4,337,3
4,386,1
4,404,2
4,407,1
4,412,2
4,470,1
4,537,1
4,596,1
4,606,1
4,607,1
4,608,5
4,609,1
4,610,2
4,631,1
4,641,1
4,703,1
4,742,8
4,768,1
4,831,1
4,843,1
4,859,1
4,871,3
4,1195,1
4,1667,1
4,1723,1
4,1728,1
4,2055,1
4,2393,1
4,3329,3
4,3560,1
5,4,1
5,5,17
5,11,5
5,17,1
5,21,4
5,28,6
5,39,1
5,42,4
5,50,4
5,65,9
5,78,1
5,96,1
5,109,1
5,117,2
5,145,1
5,146,4
5,184,2
5,263,2
5,291,2
5,292,1
5,401,2
5,423,1
5,424,3
5,485,2
5,517,3
5,535,1
5,679,1
5,792,1
5,1201,1
5,1233,1
6,8,1
6,11,4
6,23,1
6,28,3
6,35,4
6,65,3
6,146,3
6,167,1
6,253,1
6,777,3
6,1186,1
7,7,163
7,9,2
7,11,2
7,20,1
7,28,17
7,35,17
7,39,1
7,40,1
7,42,2
7,48,2
7,58,1
7,59,1
7,60,14
7,61,2
7,63,1
7,68,2
7,69,5
7,70,1
7,80,1
7,96,3
7,103,2
7,113,49
7,137,24
7,169,10
7,170,50
7,273,48
7,289,1
7,299,7
7,312,1
7,332,8
7,339,1
7,374,1
7,378,1
7,436,2
7,444,1
7,558,6
7,577,34
7,699,1
7,710,6
7,713,2
7,743,5
7,956,1
7,994,2
7,999,40
7,1019,7
7,1022,1
7,1023,1
7,1084,1
7,1232,2
7,1267,6
7,1347,3
7,1405,1
7,1505,1
7,1557,1
7,2003,9
7,2005,2
7,2105,2
7,2126,1
7,2182,1
7,2229,6
7,2267,1
7,2276,2
7,2294,1
7,2327,1
7,2460,1
7,2482,2
7,2538,1
7,2680,1
7,2686,1
7,2701,1
7,2918,10
7,2966,7
7,2981,1
7,2986,1
7,3064,2
7,3084,3
7,3088,8
7,3117,3
7,3184,1
7,3256,1
7,3273,1
7,3397,1
7,3438,2
7,3468,2
7,3469,2
7,3491,1
7,3591,1
7,3633,1
7,3638,3
7,3642,2
7,3709,1
7,3750,3
7,3935,1
7,3992,8
7,3997,1
7,3998,1
7,4262,1
7,4402,1
7,4414,1
7,4475,1
7,4586,1
7,5321,1
7,5604,1
8,0,21
8,1,4
8,2,4
8,3,7
8,4,12
8,6,5
8,7,4
8,8,57
8,9,3
8,10,3
8,11,126
8,13,4
8,14,1
8,15,10
8,16,5
8,17,173
8,18,17
8,20,6
8,21,5
8,23,12
8,25,3
8,28,205
8,30,2
8,31,1
8,32,15
8,35,49
8,36,3
8,38,16
8,40,11
8,42,26
8,44,2
8,47,9
8,48,11
8,50,25
8,53,2
8,56,4
8,58,13
8,60,19
8,61,5
8,63,2
8,65,8
8,66,1
8,67,1
8,68,1
8,72,2
8,73,42
8,74,30
8,76,2
8,77,4
8,80,23
8,81,6
8,82,3
8,84,4
8,85,12
8,90,25
8,94,1
8,95,5
8,96,10
8,97,1
8,98,2
8,99,3
8,100,4
8,101,18
8,106,7
8,108,24
8,109,84
8,110,11
8,111,28
8,113,1
8,114,1
8,115,1
8,116,1
8,117,1
8,120,1
8,125,1
8,126,3
8,131,22
8,133,6
8,135,2
8,138,1
8,147,4
8,148,44
8,150,2
8,151,2
8,154,8
8,157,1
8,161,3
