ipnitypes_nodes.node_id,code,lat,lng,ipnitypes_nodes.type_holder_code
0,MEXU,19.32052914,-99.19410824,MEXU
1,ANSM,25.461399,-101.025864,ANSM
2,CIIDIR,24.0504,-104.611,CIIDIR
3,ENCB,19.458096,-99.189362,ENCB
4,TEX,30.28626,-97.733774,TEX
5,,,,"Herbarium, Institute of Botany"
6,,,,
7,LE,59.971099,30.323166,LE
8,US,38.891325,-77.026108,US
9,UPS,59.8498,17.6208,UPS
10,FT,43.77866,11.26001,FT
11,K,51.4831,-0.295703,K
12,PERTH,-31.9946,115.883,PERTH
13,CANB,-35.2715224,149.1126156,CANB
14,BRI,-27.4748,152.979,BRI
15,ARIZ,32.231312,-110.949837,ARIZ
16,DAV,38.5409,-121.746,DAV
17,NY,40.8668,-73.8808,NY
18,RSA,34.110271,-117.714851,RSA
19,USON,29.085829,-110.949837,USON
20,C,55.68504,12.57186,C
21,KUN,25.0389,102.7183,KUN
22,SHIN,36.241871,137.965317,SHIN
23,BR,50.931194,4.319976,BR
24,LG,50.584209,5.568112,LG
25,WAG,51.967367,5.675883,WAG
26,AD,-34.917256,138.613869,AD
27,DNA,-12.501204,130.979095,DNA
28,MO,38.61327,-90.259573,MO
29,MBA,0,0,MBA
30,NSW,-34.06795,150.76871,NSW
31,MEL,-37.833073,144.98349,MEL
32,L,52.156624,4.48336,L
33,CAL,22.55295,88.27932,CAL
34,MH,11.01347,76.935463,MH
35,P,48.842178,2.35982,P
36,TAN,-18.9322,47.5258,TAN
37,SKK,37.295872,126.978279,SKK
38,U,52.156624,4.48336,U
39,WU,48.195267,16.384521,WU
40,S,59.368819,18.053325,S
41,SRGH,-17.82935,31.05389,SRGH
42,E,55.964418,-3.212675,E
43,ASSAM,25.610901,91.872498,ASSAM
44,KNYA,37.90797,32.48307,KNYA
45,ENT,0.31628,32.582191,ENT
46,MHU,0.3351,32.568286,MHU
47,EA,-1.266758,36.800989,EA
48,BM,51.495634,-0.176441,BM
49,MAL,-15.38333,35.333328,MAL
50,CAS,37.770241,-122.466789,CAS
51,FHO,51.75761,-1.25188,FHO
52,BK,13.7981,100.551,BK
53,CONC,-36.826988,-73.049767,CONC
54,LISI,38.708111,-9.184611,LISI
55,WUK,34.271927,108.081802,WUK
56,MA,40.412556,-3.69261,MA
57,CAT,37.514832,15.082561,CAT
58,B,52.454738,13.305618,B
59,FI,43.77866,11.26001,FI
60,AAU,56.165611,10.20032,AAU
61,W,48.204708,16.362471,W
62,,,,KTUB
63,SING,1.3112,103.817574,SING
64,KEP,3.223091,101.636452,KEP
65,A,42.3790883,-71.1145948,A
66,BO,-6.47977,106.863,BO
67,SAR,1.506867,110.32637,SAR
68,MSB,48.16432,11.500749,MSB
69,TASH,41.307838,69.273018,TASH
70,GAT,51.818924,11.284434,GAT
71,,,,Institute of Changbai Mt. Natural Reserve
72,INB,9.971863,-84.093114,INB
73,QCNE,-0.229675,-78.524612,QCNE
74,QCA,-0.20923866,-78.4914404,QCA
75,ULM,48.423161,9.95828,ULM
76,ETH,9.003844,38.756622,ETH
77,MPU,43.615789,3.872025,MPU
78,CPU,32.0617,118.7778,CPU
79,BAB,-34.658337,-58.658337,BAB
80,G,46.227467,6.146478,G
81,MBM,-25.440862,-49.240039,MBM
82,CTES,-27.466669,-58.833328,CTES
83,TER,39.471049,-87.408224,TER
84,PAP,-17.633329,-149.600006,PAP
85,BISH,21.333268,-157.86981,BISH
86,HITBC,21.45355,101.307831,HITBC
87,BONN,50.725479,7.09139,BONN
88,FR,50.11833,8.6506,FR
89,NBG,-33.986416,18.435544,NBG
90,LPB,-16.5,-68.150002,LPB
91,,,,HRF
92,CAG,39.221241,9.1099,CAG
93,SASSA,40.723141,8.5575,SASSA
